date,i
2020-12-28,91.2
2020-12-29,92.2
2020-12-30,91.6
2020-12-31,92
2021-01-01,92.6
2021-01-02,93
2021-01-03,93.4
2021-01-04,94
2021-01-05,93.6
2021-01-06,93.8
2021-01-07,93.2
2021-01-08,93.2
2021-01-09,93
2021-01-10,93.2
2021-01-11,92.2
2021-01-12,90.8
2021-01-13,87.8
2021-01-14,85.8
2021-01-15,84.6
2021-01-16,83.4
2021-01-17,82.4
2021-01-18,82.6
2021-01-19,82
2021-01-20,80
2021-01-21,78.2
2021-01-22,70.4
2021-01-23,69.4
2021-01-24,67.4
2021-01-25,66.6
2021-01-26,65.8
2021-01-27,73.4
2021-01-28,69.6
2021-01-29,71
2021-01-30,71.4
2021-01-31,72.8
2021-02-01,72.6
2021-02-02,76.8
2021-02-03,77
2021-02-04,77.8
2021-02-05,78.4
2021-02-06,79.8
2021-02-07,81.8
2021-02-08,82.8
2021-02-09,85.8
2021-02-10,88
2021-02-11,89.8
2021-02-12,91
2021-02-13,92.8
2021-02-14,92.8
2021-02-15,93
2021-02-16,93.4
2021-02-17,94
2021-02-18,93.8
2021-02-19,93.4
2021-02-20,93
2021-02-21,92.2
2021-02-22,92
2021-02-23,92.6
2021-02-24,89.2
2021-02-25,86.8
2021-02-26,79.6
2021-02-27,72
2021-02-28,64.2
2021-03-01,56.6
2021-03-02,56.4
2021-03-03,61
2021-03-04,66.6
2021-03-05,71
2021-03-06,78.8
2021-03-07,78.4
2021-03-08,79
2021-03-09,78.4
2021-03-10,76.6
2021-03-11,75.8
2021-03-12,74.6
2021-03-13,73.2
2021-03-14,72.6
2021-03-15,74.2
2021-03-16,73.8
2021-03-17,74
2021-03-18,73.6
2021-03-19,72.2
2021-03-20,72
2021-03-21,72.4
2021-03-22,72.2
2021-03-23,71
2021-03-24,69.8
2021-03-25,66.8
2021-03-26,63
2021-03-27,62
2021-03-28,63.6
2021-03-29,65
2021-03-30,67.4
2021-03-31,71.8
2021-04-01,73.6
2021-04-02,73.6
2021-04-03,73.8
2021-04-04,74.2
2021-04-05,73.2
2021-04-06,73.4
2021-04-07,73
2021-04-08,73
2021-04-09,72.2
2021-04-10,72
2021-04-11,72.2
2021-04-12,72.6
2021-04-13,72.8
2021-04-14,73.8
2021-04-15,75.6
2021-04-16,76
2021-04-17,76.4
2021-04-18,77.4
2021-04-19,77.2
2021-04-20,76
2021-04-21,75
2021-04-22,72.8
2021-04-23,68
2021-04-24,60.6
2021-04-25,52.2
2021-04-26,43
2021-04-27,40
2021-04-28,40.8
2021-04-29,43.8
2021-04-30,47.8
2021-05-01,56
2021-05-02,59.2
2021-05-03,59.6
2021-05-04,62.8
2021-05-05,62.2
2021-05-06,61.6
2021-05-07,61.2
2021-05-08,62.4
2021-05-09,63.4
2021-05-10,68.2
2021-05-11,67.4
2021-05-12,68.2
2021-05-13,61
2021-05-14,51.6
2021-05-15,42.6
2021-05-16,34.4
2021-05-17,26.2
2021-05-18,24.2
2021-05-19,23.6
2021-05-20,20.4
2021-05-21,20.2
2021-05-22,17.2
2021-05-23,15.8
2021-05-24,13.2
2021-05-25,15.4
2021-05-26,16
2021-05-27,19
2021-05-28,20.4
2021-05-29,22
2021-05-30,19.6
2021-05-31,18.8
2021-06-01,17.4
2021-06-02,17.8
2021-06-03,19
2021-06-04,22.4
2021-06-05,23.6
2021-06-06,23
2021-06-07,21.4
2021-06-08,19.2
2021-06-09,16.6
2021-06-10,16
2021-06-11,16.8
2021-06-12,19.4
2021-06-13,21.4
2021-06-14,24.2
2021-06-15,27.6
2021-06-16,30
2021-06-17,29.6
2021-06-18,30
2021-06-19,29
2021-06-20,25.6
2021-06-21,23.6
2021-06-22,20.4
2021-06-23,18.2
2021-06-24,18
2021-06-25,19.2
2021-06-26,18.6
2021-06-27,21
2021-06-28,23.2
2021-06-29,23.8
2021-06-30,24
2021-07-01,25.6
2021-07-02,25.4
2021-07-03,25.2
2021-07-04,25.6
2021-07-05,25.8
2021-07-06,24.2
2021-07-07,25.6
2021-07-08,24.8
2021-07-09,23.4
2021-07-10,21.6
2021-07-11,21.6
2021-07-12,21
2021-07-13,21
2021-07-14,21.2
2021-07-15,21.2
2021-07-16,21.6
2021-07-17,19.6
2021-07-18,19.4
2021-07-19,20
2021-07-20,19.8
2021-07-21,17.4
2021-07-22,18.6
2021-07-23,19.4
2021-07-24,19
2021-07-25,20.6
2021-07-26,23.8
2021-07-27,26
2021-07-28,31.4
2021-07-29,37
2021-07-30,42.2
2021-07-31,49
2021-08-01,54.6
2021-08-02,54.2
2021-08-03,53.8
2021-08-04,51.6
2021-08-05,49.6
2021-08-06,48
2021-08-07,52.2
2021-08-08,57.4
2021-08-09,62
2021-08-10,66.2
2021-08-11,69.8
2021-08-12,70
2021-08-13,69.2
2021-08-14,71.4
2021-08-15,71.4
2021-08-16,71.8
2021-08-17,72.2
2021-08-18,72.8
2021-08-19,71.6
2021-08-20,71.4
2021-08-21,72.6
2021-08-22,73.4
2021-08-23,74.6
2021-08-24,76.4
2021-08-25,77
2021-08-26,76.4
2021-08-27,75.4
2021-08-28,75.2
2021-08-29,73.8
2021-08-30,73.8
2021-08-31,73.4
2021-09-01,73.4
2021-09-02,72.6
2021-09-03,73
2021-09-04,72.8
2021-09-05,72.8
2021-09-06,74.4
2021-09-07,75.4
2021-09-08,70
2021-09-09,64.6
2021-09-10,59.2
2021-09-11,49.6
2021-09-12,40.2
2021-09-13,39.6
2021-09-14,36.6
2021-09-15,37.2
2021-09-16,41.6
2021-09-17,44.8
